"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"1834","80-18-054493","2018-07-17 13:41:00","2018-07-17 13:41:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","N 20TH ST / LYTLE ST                                        ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"1835","80-18-056975","2018-07-26 00:36:00","2018-07-26 00:36:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","DIXIE HWY / W HILL ST                                       ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40210"
"1836","80-18-055239","2018-07-19 21:41:00","2018-07-19 21:39:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","1700 BLOCK DUNCAN ST                                        ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"1837","80-18-058479","2018-07-28 17:19:00","2018-07-28 17:19:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","S 1ST ST / E JACOB ST                                       ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"1838","80-18-059058","2018-08-02 02:02:00","2018-08-02 02:02:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","212","HIGHWAY / ROAD / ALLEY","GREENWOOD AVE / WOODWAY LN                                  ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40211"
"1839","80-18-062280","2018-05-22 15:21:00","2018-05-22 15:21:00","ASSAULT","13A","PART I","COMPLETED","6TH DIVISION","612","HIGHWAY / ROAD / ALLEY","PRESTON HWY / VINEWOOD RD                                   ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40219"
"1840","80-18-064012","2018-08-19 23:30:00","2018-08-18 23:15:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","RESIDENCE / HOME","1200 BLOCK S FLOYD ST                                       ","ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1841","80-18-060182","2018-08-06 10:46:00","2018-08-06 10:46:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","824","HIGHWAY / ROAD / ALLEY","12900 BLOCK SHELBYVILLE RD                                  ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","MIDDLETOWN","40243"
"1842","80-18-064012","2018-08-19 23:30:00","2018-08-18 23:15:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","RESIDENCE / HOME","1200 BLOCK S FLOYD ST                                       ","ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1843","80-18-064966","2018-08-22 01:56:00","2018-08-22 01:56:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","711","HIGHWAY / ROAD / ALLEY","17 I264W                                                    ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40205"
"1844","80-18-063785","2018-08-18 03:40:00","2018-08-18 03:40:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","BARDSTOWN RD / PATTERSON AVE                                ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"1845","80-18-067131","2018-08-28 03:00:00","2018-08-28 01:51:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","1100 BLOCK E BROADWAY                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40204"
"1846","80-18-068667","2018-09-04 00:54:00","2018-09-04 00:54:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","RESIDENCE / HOME","300 BLOCK GRAVES END DR                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1847","80-18-068667","2018-09-04 00:54:00","2018-09-04 00:54:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","RESIDENCE / HOME","300 BLOCK GRAVES END DR                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1848","80-18-068667","2018-09-04 00:54:00","2018-09-04 00:54:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","RESIDENCE / HOME","300 BLOCK GRAVES END DR                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1849","80-18-068667","2018-09-04 00:54:00","2018-09-04 00:54:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","RESIDENCE / HOME","300 BLOCK GRAVES END DR                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1850","80-18-069977","2018-09-08 04:08:00","2018-09-08 04:08:00","ASSAULT","13A","PART I","COMPLETED","7TH DIVISION","712","HIGHWAY / ROAD / ALLEY","TAYLORSVILLE RD AT I265                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40299"
"1851","80-18-069977","2018-09-08 04:08:00","2018-09-08 04:08:00","ASSAULT","13A","PART I","COMPLETED","7TH DIVISION","712","HIGHWAY / ROAD / ALLEY","TAYLORSVILLE RD AT I265                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40299"
"1852","80-18-064399","2018-08-20 13:06:00","2018-08-20 13:06:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","300 BLOCK W WHITNEY AVE                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40214"
"1853","80-18-068952","2018-09-04 20:00:00","2018-09-04 19:34:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","2100 BLOCK PORTLAND AVE                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"1854","80-18-068952","2018-09-04 20:00:00","2018-09-04 19:34:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","2100 BLOCK PORTLAND AVE                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"1855","80-18-069633","2018-09-06 22:04:00","2018-09-06 22:04:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","S 2ND ST / W JEFFERSON ST                                   ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"1856","80-18-070599","2018-09-10 18:43:00","2018-09-10 18:43:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 17TH ST / W HILL ST                                       ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40210"
"1857","80-18-071956","2018-09-15 06:57:00","2018-09-15 06:57:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","GOVERNMENT / PUBLIC BUILDING","2500 BLOCK W JEFFERSON ST                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40212"
"1858","80-18-072216","2018-09-16 03:51:00","2018-09-16 03:51:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","OTHER RESIDENCE (APARTMENT/CONDO)","400 BLOCK BROHM ST                                          ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40208"
"1859","80-18-072199","2018-09-16 01:10:00","2018-09-16 00:40:00","ASSAULT","13B","PART II","COMPLETED","METRO LOUISVILLE","STM","BAR / NIGHT CLUB","3900 BLOCK SHELBYVILLE RD                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","ALL OTHER","ST_MATTHEWS","40207"
"1860","80-18-075834","2018-09-10 14:53:00","2018-09-10 14:53:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","811","HIGHWAY / ROAD / ALLEY","3000 BLOCK CHAMBERLAIN LN                                   ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40241"
"1861","80-11-104539","2011-12-26 08:00:00","2011-12-26 07:30:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","OTHER RESIDENCE (APARTMENT/CONDO)","1000 BLOCK S 2ND ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"1862","80-11-105261","2011-12-28 21:28:00","2011-12-28 21:28:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","200 BLOCK E ORMSBY AVE                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","BURGLARY IN PROGRESS OR PURSUING BURG SUSPECT","LOUISVILLE","40203"
"1863","80-11-098447","2011-12-04 17:29:00","2011-12-04 17:29:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","HOMELESS SHELTER / MISSION","800 BLOCK S BROOK ST                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"1864","80-11-098447","2011-12-04 17:29:00","2011-12-04 17:29:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","HOMELESS SHELTER / MISSION","800 BLOCK S BROOK ST                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"1865","80-10-017737","2010-03-13 03:45:00","2010-03-13 03:45:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","512","PARKING LOT / GARAGE","600 BLOCK BAXTER AVE                                        ","ASSAULT - 4TH DEGREE (NO VISIBLE INJURY)","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40204"
"1866","80-10-017737","2010-03-13 03:45:00","2010-03-13 03:45:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","PARKING LOT / GARAGE","600 BLOCK BAXTER AVE                                        ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40204"
"1867","80-11-007874","2011-01-31 16:10:00","2011-01-31 15:40:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","812","HIGHWAY / ROAD / ALLEY","4200 BLOCK TOWNE CENTER DR                                  ","WANTON ENDANGERMENT-2ND DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40241"
"1868","80-13-060377","2013-08-11 22:23:00","2013-08-11 22:23:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","600 BLOCK CECIL AVE                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
"1869","80-13-060377","2013-08-11 22:23:00","2013-08-11 22:23:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","600 BLOCK CECIL AVE                                         ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
"1870","80-10-002628","2010-01-12 15:21:00","2010-01-12 15:10:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","811","HIGHWAY / ROAD / ALLEY","3700 BLOCK DIANN MARIE RD                                   ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40241"
"1871","80-13-056211","2013-07-28 17:16:00","2013-07-28 17:10:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","135","HOMELESS SHELTER / MISSION","400 BLOCK E JEFFERSON ST                                    ","ASSAULT - 2ND DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40202"
"1872","80-13-056211","2013-07-28 17:16:00","2013-07-28 17:10:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","135","HOMELESS SHELTER / MISSION","400 BLOCK E JEFFERSON ST                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40202"
"1873","80-13-025531","2013-04-09 02:51:00","2013-04-09 02:51:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","PARKING LOT / GARAGE","1700 BLOCK W BROADWAY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40210"
"1874","80-11-038888","2011-05-21 21:10:00","2011-05-21 21:10:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","512","RESIDENCE / HOME","1100 BLOCK E BROADWAY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"1875","80-11-017010","2011-03-08 13:52:00","2011-03-08 13:52:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","135","HIGHWAY / ROAD / ALLEY","800 BLOCK E CHESTNUT ST                                     ","TERRORISTIC THREATENING 1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40204"
"1876","80-11-017010","2011-03-08 13:52:00","2011-03-08 13:52:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","135","HIGHWAY / ROAD / ALLEY","800 BLOCK E CHESTNUT ST                                     ","ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40204"
"1877","80-11-017010","2011-03-08 13:52:00","2011-03-08 13:52:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","135","HIGHWAY / ROAD / ALLEY","800 BLOCK E CHESTNUT ST                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40204"
"1878","80-11-061131","2011-08-03 19:04:00","2011-08-03 16:20:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","GARLAND AVE  / LOUIS COLEMAN JR DR                          ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"1879","80-11-068682","2011-08-27 22:43:00","2011-08-27 22:30:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","811","RESIDENCE / HOME","5000 BLOCK CRONIN DR                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40245"
"1880","80-12-031111","2012-04-21 01:07:00","2012-04-21 01:07:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","400 BLOCK S 4TH ST                                          ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"1881","80-12-041831","2012-05-26 20:21:00","2012-05-26 20:21:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 24TH ST / ELLIOTT AVE                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40211"
"1882","80-18-074328","2018-09-23 14:02:00","2018-09-23 14:02:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","435","HIGHWAY / ROAD / ALLEY","BICKNELL AVE / WOODRUFF AVE                                 ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40215"
"1883","80-18-077290","2018-10-02 09:15:00","2018-10-02 09:15:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","900 BLOCK S 2ND ST                                          ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40203"
"1884","80-18-078097","2018-10-05 22:34:00","2018-10-05 22:30:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","824","RESIDENCE / HOME","200 BLOCK MIDDLETOWN SQ                                     ","ASSAULT - 3RD DEGREE (OFFICER TRANSPORTING INMATES)","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","MIDDLETOWN","40243"
"1885","80-18-078097","2018-10-05 22:34:00","2018-10-05 22:30:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","824","RESIDENCE / HOME","200 BLOCK MIDDLETOWN SQ                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","MIDDLETOWN","40243"
"1886","80-18-076318","2018-09-29 23:34:00","2018-09-29 22:50:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","134","HIGHWAY / ROAD / ALLEY","N JOHNSON ST / E MAIN ST                                    ","ASSAULT - 4TH DEGREE (MINOR INJURY)","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40206"
"1887","80-18-078739","2018-10-08 12:41:00","2018-10-08 12:41:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","525","HIGHWAY / ROAD / ALLEY","3700 BLOCK FRANKFORT AVE                                    ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40207"
"1888","80-18-079327","2018-10-10 09:25:00","2018-10-10 09:25:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","323","RESIDENCE / HOME","1200 BLOCK MCBROOM CT                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40214"
"1889","80-18-080652","2018-10-15 02:00:00","2018-10-15 01:43:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","135","PARKING LOT / GARAGE","500 BLOCK E LIBERTY ST                                      ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40202"
"1890","80-18-080652","2018-10-15 02:00:00","2018-10-15 01:43:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","135","PARKING LOT / GARAGE","500 BLOCK E LIBERTY ST                                      ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40202"
"1891","80-18-082224","2018-10-19 21:53:00","2018-09-09 11:20:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","525","HIGHWAY / ROAD / ALLEY","BROWNSBORO RD / SPRUCE LN                                   ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40207"
"1892","80-18-080944","2018-10-15 23:20:00","2018-10-15 23:20:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","4400 BLOCK S 2ND ST                                         ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40214"
"1893","80-18-082295","2018-10-20 05:43:00","2018-10-20 05:43:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","236","HIGHWAY / ROAD / ALLEY","I264W AT CANE RUN RD (LAKE DREAMLAND SIDE)                  ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40216"
"1894","80-18-083423","2018-10-22 20:43:00","2018-10-22 20:43:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","1200 BLOCK BARDSTOWN RD                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"1895","80-18-083423","2018-10-22 20:43:00","2018-10-22 20:43:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","1200 BLOCK BARDSTOWN RD                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"1896","80-18-083732","2018-10-24 20:00:00","2018-10-24 18:08:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","135","HIGHWAY / ROAD / ALLEY","S BROOK ST / E JEFFERSON ST                                 ","WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40202"
"1897","80-18-084354","2018-10-27 04:13:00","2018-10-27 04:13:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","HIGHWAY / ROAD / ALLEY","600 BLOCK S 44TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40211"
"1898","80-18-084354","2018-10-27 04:13:00","2018-10-27 04:13:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","HIGHWAY / ROAD / ALLEY","600 BLOCK S 44TH ST                                         ","ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40211"
"1899","80-18-085047","2018-10-29 17:30:00","2018-10-29 17:25:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 7TH ST / ALGONQUIN PKY                                    ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40208"
